auto_clan	clan_description	number_archs	group_concat(distinct(pfamnr))	clan_comment
377	Fumarylacetoacetate hydrolase, C-terminal domain, superfamily	24	PF01557,PF11010	Superfamily contains fumarylacetoacetate hydrolase and related enzymes,
378	ANL superfamily	1681	PF00501,PF03321,PF04443	This superfamily consists of enzymes including luciferase, long chain fatty acid Co-A ligase, acetyl-CoA synthetase and various other closely-related synthetases as well as a plant auxin-responsive promoter family.  The name ANL derives from from three of the subfamilies - Acyl-CoA synthetases, the NRPS adenylation domains, and the Luciferase enzymes [1].  Members of this superfamily catalyse the initial adenylation of a carboxylate to form an acyl-AMP intermediate, followed by a second partial reaction, most commonly the formation of a thioester [1].
379	Pyroglutamate aminopeptidase superfamily	14	PF01470,PF06162	This is a collection of pyrrolidone carboxyl peptidase or pyroglutamate aminopeptidase families from bacteria and archaea.
380	Indolic compounds 2,3-dioxygenase-like superfamily	16	PF01231,PF03301,PF08933	Superfamily contains bacterial tryptophan 2,3-dioxygenase and indoleamine 2,3-dioxygenase-like families.
381	Metallo-hydrolase/oxidoreductase superfamily	245	PF00753,PF02112,PF09843,PF12706,PF13483,PF13691	This superfamily of enzymes including beta-lactamases, thiolesterases, members of the glyoxalase II family that catalyse the hydrolysis of S-D-lactoyl-glutathione to form glutathione and D-lactic acid all bind two ions of zinc. An additional family of competence proteins essential for natural transformation do not appear to bind zinc, and might be a transporter involved in DNA uptake.
382	DNA breaking-rejoining enzyme superfamily	145	PF05202,PF00589,PF01028,PF11917,PF12835,PF13009	This is a superfamily of DNA recombinases, topoisomerases and integrases.
383	Phenylalanine- and lysidine-tRNA synthetase domain superfamily	41	PF03483,PF11734	Families here are thought to contain a putative tRNA-binding structural motif. The families are the C-terminal domains of tRNA-Ile-lysidine and the phenylalanine-tRNA synthetases.
384	PLC-like phosphodiesterases	216	PF03009,PF00388,PF00387,PF13653	Superfamily consists of Glycerophosphoryl diester phosphodiesterase and phosphatidylinositol-specific phospholipase C families.
385	Hydrophilin-like superfamily	16	PF00477,PF10685	This superfamily includes plant and bacterial hydrophilin families.
386	Superantigen toxins, C-terminal domain superfamily	9	PF03642,PF02876	Superfamily contains bacterial super-antigen toxins and the MAP family.
387	Dihydrofolate reductase-like	34	PF00186,PF01872	Superfamily contains the dihydrofolate reductases and the RibD C-terminal domain-like including HTP reductase families.
388	Fatty acid responsive transcription factor FadR, C-terminal domain	33	PF07729,PF07840	Superfamily includes C-terminal domain ligand-binding GntR families and families of fatty acid responsive transcription factors. This C-terminal domain, an antiparallel array of six alpha helices, forms a barrel-like structure, while a seventh alpha helix forms a 'lid' at the end closest to the N-terminal domain - a separate, DNA-binding winged-helix, domain.
389	TRAF domain-like superfamily	133	PF00917,PF03145,PF02176	Superfamily has a circularly permuted immunoglobulin-fold topology with extra an extra beta-strand. Families include the Math and the SIAH, or Seven in absentia, members.
390	FYVE/PHD zinc finger superfamily	787	PF01363,PF00628,PF05715,PF13341,PF13771,PF13831,PF13832	Superfamily contains a number of zinc-fingers, of the FYVE/PHD type, which are found in several groups of proteins including myelin-associated oligodendrocytic basic proteins (MOBP) Rabphilins, melanophilins, exophilins and myosin-VIIA and Rab-interacting protein families.
391	Adenylate cyclase associated (CAP) C terminal like 	25	PF07986,PF08603	Families in this clan adopt a beta super helix structure [1-2].  The clan includes the C terminal domain of adenylate cyclase which binds binds actin [1].
392	Chaperone J-domain superfamily	488	PF00226,PF03656	The J-domain is found in a number of stress-response proteins.  It is found at the N-terminal of Hsc20, DnaJ-chaperone in E. coli,  and viral large T-antigen proteins; it is also in Hsc40, mammalian  auxilin and in both animal and plant DnaJ proteins. It is also  found in degenerate form in Pam16 proteins.
393	FucI/AraA C-terminal domain-like [50443] 	6	PF02952,PF11762	The enzymes in this superfamily function as a hexamer, which is the largest structurally known ketol isomerase, that has no  sequence or structural similarity to other ketol isomerases.
394	DsrEFH-like superfamily	19	PF02635,PF04077,PF13686	This is a superfamily of small proteins from phototrophic sulfur bacteria that are involved in oxidisation of  intracellular sulfur.
395	Tubby C-terminal domain-like 	40	PF03803,PF01167,PF04525	This superfamily contains the scramblase protein family, the Tub family and the DUF567, a family of plant and bacterial proteins of hitherto unknown function. All members are membrane-tethered transcription factors.
396	MARVEL domain containing superfamily	26	PF04535,PF01284	The MAL and related proteins for vesicle trafficking and membrane link (MARVEL) domain is a module with a four transmembrane-helix architecture that has been identified in proteins of the myelin and lymphocyte (MAL), physins, gyrins and occludin families.
397	SirA-like superfamily	53	PF01206,PF10006	Member families are predicted redox proteins, that regulate disulfide bond formation and are implicated in cell-division.
398	RNA/DNA-metabolising metallo-beta-lactamase motif	53	PF07521,PF07522	This clan contains the fifth motif found in RNA and DNA metabolising metallo-beta-lactamases.  The fifth motif appears to be specific to function [1].
399	Aspartate/glutamate racemase superfamily	14	PF01177,PF07302	Superfamily contains aspartate racemase, glutamate racemase, hydantoin racemase and arylmalonate decarboxylase families from fungi, plants, bacteria and archaeal species.
400	Double-Glycine leader-peptide cleavage motif	9	PF03047,PF04604,PF04369,PF08129,PF10439	This is a collection of short bacterial families that  carry a distinctive GG-cleavage motif. Conservation C-terminal to the GG-motif is not apparent. However, the families are  all interconnected with critical virulence attributes of one  kind or another.
401	AsmA-like OmpF regulator protein superfamily 	53	PF05170,PF04357,PF05359,PF13109,PF13116,PF13502	Families in this collection are AsmA-like. Mutations in the AsmA gene restore the assembly of OmpF, a trimeric outer membrane porin from E coli and related bacteria necessary for the cytotoxic action of group-A colicins.
402	Cdc48 domain 2-like	32	PF02933,PF03152,PF09262	Superfamily contains C-terminal domains of N-ethylmaleimide sensitive fusion proteins, VCP-like ATPases, membrane fusion ATPase p97 domain 2, peroxisome biogenesis factor 1 (PEX-1), domain 2, and ubiquitin fusion degradation protein UFD1 families.
403	Acetoacetate decarboxylase-like	12	PF06314,PF09844	Superfamily contains the acetoacetate decarboxylase enzyme family EC:4.1.1.4, and a family of uncharacterized proteins from bacteria.
404	BPD transporter like	128	PF00528,PF02687,PF03739,PF07242	This clan contains families that are involved in transport of molecules across membranes.  It includes the bacterial binding protein-dependent transport system inner membrane component, Pfam:PF00528, which is ATP dependent system involved in transport of a range of substrates [1-2].
405	DNA-binding pseudo-barrel domain	42	PF02362,PF03754,PF09217	Superfamily consists of type II restriction endonuclease effector (N-term) domain and plant B3 DNA binding domain families.
406	YjbJ-CsbD-like superfamily	5	PF05532,PF05957	CsbD is a bacterial general stress response protein. It's expression is mediated by sigma-B, an alternative sigma factor [1]. The role of CsbD in stress response is unclear. YjbJ is a hypothetical protein with a similar structure.
407	TATA-binding protein like	24	PF00352,PF06029,PF07934	TBP is a transcription factor whose DNA binding fold is composed of a curved antiparallel beta-sheet [1].  This fold is also found in the N terminal region of DNA repair glycosylases.  The N terminal domain of DNA glycosylase has only a single copy of the fold, whereas TBP contains a duplication of this fold [2-3].
408	Purine and uridine phosphorylase superfamily	172	PF01048,PF06516	superfamily contains a number of purine nucleoside phosphorylase, uridine nucleoside phosphorylase, and various nucleosidase families of proteins.
409	GTPase activation domain superfamily	296	PF00616,PF00620,PF08101	Superfamily contains BCR-homology GTPase activation domain (BH-domain) and p120GAP domain-like, including the GAP related domain of neurofibromin, families.
410	LEF-8 like region of RNA polymerase Rpb2	119	PF00562,PF04941	Late expression factor 8 (LEF-8) is one of the primary components of RNA polymerase produced by polyhedrosis viruses. LEF-8 shows homology to domain 6 of the second largest subunit of prokaryotic DNA-directed  RNA polymerase[1].
411	Antigenic variants from Plasmodium cell-surface	7	PF05795,PF06022	Several families of paralogous proteins are included in this superfamily, largely from Plasmodium species. The genome expresses great numbers of them, and they vary subtly from each other.
412	Frag1 like	20	PF06197,PF10277	This clan contains the Frag1/DRA</Sfk1 Pfam family (Pfam:PF10277) and related families.
413	Toprim domain	281	PF01751,PF09664,PF09983,PF12965,PF13155,PF13362,PF13662	This is families that have a conserved region from DNA primase. This corresponds to the Toprim domain common to DnaG primases, topoisomerases, OLD family nucleases and RecR proteins [1].
414	Tellurits and antibiotic resistance superfamily	61	PF04391,PF05099,PF09976	A number of families which show resistance to antibiotics or tellurite are included here.
415	Restriction endonuclease-like [52980]	7	PF02976,PF09254,PF09491	A large number of restriction endonucleases are related and collated in this superfamily.
416	Transmembrane protein families of the Anoctamin type	67	PF04547,PF02714,PF07810	The families are transmembrane families, where some of the members have sodium tolerance activity.
417	BIR-like domains	34	PF00653,PF07967,PF08600	Clan of domains all involved in binding nucleic acid and sharing the sequence motif C3HC.
418	GIY-YIG endonuclease superfamily	101	PF01986,PF01541,PF10544,PF13455	Based on the analysis of genomic distribution, patterns of domain fusions and phylogenetic considerations for individual families, an evolutionary scenario is proposed that explains the emergence and development of the major branches of the GIY-YIG superfamily that links the Slx-type with the UvrC-like endonucleases. Most families appear to target DNA. The GIY-YIG domain has been quite successful in forming monomeric nucleases that utilise additional domains to recognise its DNA targets; this collection of domains can range from extremely simple DNA-binding elements (as in the case of I-TevI) to modules with independent enzymatic activities (as in the case of UvrC or the Penelope elements) [1].
419	Type III secretion system types a and b chaperone	8	PF02050,PF09486	Type III secretion systems of the two forms, a - translocation-associated, and b - bacterial flagellum, share homology between comparable parts. This superfamily includes the chaperone proteins FliJ and HrpB7.
420	Bacterial membrane GlpM-like group	3	PF06942,PF11345	This is a group of membrane proteins of the GlpM type.
421	Lipo-protein attachment motif superfamily	27	PF06291,PF06474,PF08085,PF08139	Superfamily consists of those protein families wherein the lipo-protein attachmnet motif, usually at the N-terminus, is found. regions of sequence downstream of this motif may not be conserved between families in the clan.
422	Fibrinogen C-terminal domain-like	211	PF01410,PF00147	This is a collection of families with C-terminal domains that are of similar structure.
423	AhpD-like superfamily	38	PF02627,PF04636	Superfamily contains CMD-like, and Antioxidant defense protein AhpD families.
424	Type III secretion system-derived superfamily, hook-related	11	PF02120,PF05258,PF09483	There is homology between the proteins forming the flagellar system and those involved in translocation of effector proteins at host-infection.  Both systems, in Gram-negative bacteria, are Sec-independent but ATPase-dependent.  There are up to 9 proteins that are homologous between the two systems.  It is not clear, however, why HpaP proteins, which are essentially suppressants of HrpB2, an essential pathogenicity factor, should also be homologous to any of these families.
425	NADH dehydrogenase I, subunit N	51	PF00361,PF10125	This superfamily contains proteins from the families Oxidored_q1 and NADHdeh_related. The Oxidored_q1 family is part of complex I which catalyses the transfer of two electrons from NADH to ubiquinone in a reaction that is associated with proton translocation across the membrane. Many members of the NADHdeh_related family are archaeal and bacterial, indicating the evolutionary origins of ComplexI.
426	HRDC-like superfamily	60	PF00570,PF03874,PF11408	Superfamily includes HRDC domain from helicases, RNA polymerase II subunit RBP4, RNase D C-terminal domains, and EXOSC10 HRDC domain-like families.
428	TolA/TonB C-terminal	68	PF03544,PF06519,PF13103	This clan contains the TolA and TonB C terminal domains.  These domains adopt a structure containing anti-parallel beta sheets with some alpha helical regions. The TolA family contains an extra N-terminal helix over the common fold, and the TonB is an isolated domain that can form different segment-swapped dimers depending on the fragment length [1].
429	UcrQ-like	5	PF02939,PF10890	The families here include those that are the H and S chains of cytochrome c subunit B1.
430	Copper resistance protein D	19	PF03653,PF05425,PF10027,PF13664	This clan contains families that are related to the CopD family of proteins.\t    CopD, together with CopC, performs copper uptake into the cytoplasm.
431	Profilin-like superfamily	18	PF00235,PF03259,PF08923	The families here all show the Profilin-like fold, and represent both the Profilin (actin-binding protein) (55770) and the Roadblock/LC7 domain-type (103196) superfamilies.
433	SPFH superfamily	57	PF01145,PF11978,PF13421	This superfamily includes the SPFH family as well as the shoulder domain from the Major Vault Protein [1].
434	Sialidase superfamily	125	PF02012,PF00423,PF00064,PF12217,PF13088,PF13859	This superfamily includes sialidases enzymes.  Several viruses use sialic acid as a cell surface receptor for host invasion. These viruses then have cell surface neuraminidase enzymes to cleave sialic acid from cell surface proteins allowing them to leave the host cell after replication.  This superfamily are composed of six beta-sheets that form a six-fold beta-propeller structure. Many members of this superfamily contain BNR sequence motifs Pfam:PF02012.
435	Nitrogen permease regulator family	10	PF03666,PF06218	The several protein families of nitrogen permease regulators, that complex together and regulator TORC1 in response to amino acid starvation are likely to have arisen by a gene duplication event.
436	Flagellar motor switch family	22	PF01706,PF03448	This superfamily is characterised by a fragmented superhelix consisting of 3-4 helical motifs and connecting helices. Memebers include the direct flagellar motor as well as the MG2+ families.
437	Transcription elongation factor G C-terminal	57	PF00679,PF09186,PF09377	This superfamily is characterised by being an alpha-beta 2-Layer Sandwich. It is found in EF2 proteins from both prokaryotes and eukaryotes, as well as in some tetracycline resistance proteins, peptide chain release factors ], and in the C-terminal region of the bacterial hypothetical protein, YigZ.
438	Transcriptional regulators of TTHA1013 andTTHA0281 type	22	PF03681,PF08972,PF12909	These families are characterised by sharing a 2-layer, beta(3)-alpha-beta topology. Domains dimerise via the long C-terminal strand with the formation of a single beta-sheet.
439	NusG-like	29	PF02357,PF03439	Members of this clan are related to the NusG transcription termination factor.  The eukaryotic orthologue of NusG is Spt5 [1].
441	RNA-DNA binding Alba-like superfamily	7	PF01918,PF12328	This is a family of DNA and RNA binding proteins found from archaea to humans.
442	Tubulin, FtsZ and Misato and their C-termini, GTPase	49	PF03953,PF00091,PF10644,PF12327,PF13809	This superfamily is characterised by being of alpha-beta two-layer sandwich structures.  A segmental duplication early on in the primate lineage has led to the creation of up to three tubulin-like domains in the higher primates. The most N-terminal one is the Misato domain, which probably represents the original domain [3].
444	YcfA-nrd-intein domain	6	PF03646,PF06006,PF07927	This superfamily is characterised by a short approx. 55 residue fold that is found in domains associated with flagellum formation and a short region withiin the homing endonucleases.
445	SNARE-fusion membrane complex superfamily	62	PF00804,PF00957,PF05739	The SNARE-fusion complex families are characterised by being tetrameric coiled-coil structures.
446	Translocation domain of colicin-like bacteriocins	28	PF03515,PF06958	A number of different bacterial species produce bacteriocins to kill competitor species, and the colicin class is a group of complex three-domain structures. The receptor-binding domain recognises and binds to specific cell surface receptors on the target cells; the N-terminal translocation domain interacts with cell membrane proteins to gain access to the cell interior; the C-terminal domain specifies a killing activity, such as pore formation or nuclease activity. This superfamily is a collection of the translocating domains.
447	DUF1304/DUF3784 clan	6	PF06993,PF12650	This superfamily includes two related families of short uncharacterised proteins from bacteria.
448	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor	27	PF00928,PF10291	Internalisation of diverse transmembrane cargos from the plasma membrane requires a similarly diverse array of specialized adaptors, this domain is the binding domain of these endocytioc adaptors. The muHD binds directly to the cytosolic tail of the Mid2 (for the transmembrane stress sensor protein Mid2) cargo protein and mediates Mid2 internalization [1]. These are all-beta proteins.
449	DExH-box splicing factor binding site	103	PF01585,PF12656	This superfamily is characterised by domains which are related to the G-patch domain in proteins with RNA-binding/splicing activity. This domain affects RNA-splicing by binding to a DExH-box splicing factor.
450	Fimbriae A and Mfa superfamily	4	PF06321,PF08842	To add the reference from ActaF when it is published, A conserved fold for fimbriae components revealed by the crystal structure of a putative fimbriae assembly protein (BT1062) from Bacteroides thetaiotaomicron at 2.2 Angstrom resolution.  This family includes the fimbrillin-A set of fimbrial proteins and the shorter Mfa1 fimbrial set and their asoociated anchor-proteins Mfa2.
451	von Willebrand Factor like superfamily	251	PF00093,PF05825,PF12714	This superfamily is characterised by being disulfide-rich, all-beta with an extra C-terminal domain in the fibronectin-like, Fn1, members.
452	Tropomyosin-like superfamily	19	PF00261,PF12718	
453	Inhibitors of suppressors of apoptosis Bax/Bak 	12	PF01027,PF12811	This family includes members which are Bax inhibitors.
454	Protease inhibitor toxin superfamily	249	PF00014,PF00095	This superfamily includes several families of toxins which seem to act as protease inuibitors.
455	Mitochondrial membrane transporting or complex assembly	6	PF08294,PF08695	This superfamily is characterised by being mitochondrial membrane proteins with importing activities.
456	Shuttling between cyosol and Golgi, peripheral membrane family	11	PF09742,PF12722	This superfamily is characterised by comprising multiple-pass membrane proteins that are associated with various aspects of trafficking of molecules into and out of the Golgi apparatus.
457	Aspartate chemoreceptor, signal-transduction ligand-binding	214	PF02203,PF05227,PF12729	This superfamily is characterised by a four-helix bundle structure that forms a ubiquitous sensory module in prokaryotic signal-transduction. The 4HB_MCP is always found between two predicted transmembrane helices indicating that it detects only extracellular signals. In many cases the domain is associated with a cytoplasmic HAMP domain suggesting that most proteins carrying the bundle might share the mechanism of transmembrane signalling which is well-characterised in E coli chemoreceptors.
458	Class II aaRS Anticodon-binding domain-like	79	PF03129,PF12745	This superfamily is characterised by including the anticodon-binding domain of Class II aaRS and the Brix domain.
459	BRCT like 	264	PF00533,PF12738	The BRCT domain is found predominantly in proteins involved in cell cycle checkpoint functions responsive to DNA damage.
460	MAPK-interacting Drmip-like superfamily	46	PF10342	This superfamily contains members that are similar to the MAPK-interacting DRMIP-like family. 
461	Description	8	PF02069,PF00131,PF12749,PF12809	This superfamily contains related families of metallothioneins, prokaryote and eukaryote.
462	Transcription elongation factor C-terminal nonapeptide repeat	33	PF08920,PF12815	This superfamily includes several families of this nonapeptide repeat, that carries a characteristic TPA motif. The C-terminal domain of the transcription elongation factor protein Spt5 is necessary for binding to Spt4 to form the functional complex that regulates early transcription elongation by RNA polymerase II.
463	Description	4	PF04729	The YEATS domain consists of the beta-sandwich characteristic of the Ig fold and contains three distinct conserved structural features. This structure is highly similar to that of the histone chaperone Asf1, a similarity that extends to an ability of the YEATS containing protein to bind histones H3 and H4 in vitro.
464	5'-3'-exonuclease C-terminal sub-region	55	PF01367,PF00867,PF09293,PF12813	This superfamily includes C-terminal domains from a number of DNA-processing enzymes including T4 RNase H, 5' to 3' exonuclease domain of DNA polymerase Taq, T5 5'-exonuclease, Flap endonuclease-1 (Fen-1 nuclease), and other eukaryotic endonucleases.
465	Ankyrin repeat superfamily	4379	PF00023,PF11900,PF11929,PF12796,PF13606,PF13637,PF13857	The ankyrin repeat is a short sequence region that is about 30-34 amino-acids in length. Multiple copies of the repeat composed of two beta strands and two alpha helices combine to form long arrays. In general these repeats are involved in protein-protein interactions. This superfamily also includes some families that are arrays of several repeats.
466	PDZ domain-like peptide-binding superfamily	682	PF04495,PF00595,PF12812,PF13180	This superfamily comprises families of PDZ domains, which are peptide binding sites.
467	Phosphoribosyl transferase like	64	PF00156	This family includes proteins that share the PRTase-like fold. These are phosphoribosyltransferases (PRTases) and phosphoribosylpyrophosphate synthetase-like members where the fold is duplicated.
468	Malectin-like superfamily	195	PF11721,PF12819	This superfamily includes several families of Malectin-type domains.
469	lambda integrase N-terminal domain	53	PF02899,PF12834,PF13102,PF13495	This superfamily is characterised by families having 4-5 helices in a bundle of two orthogonally packed alpha-hairpins that are involved in interactions with DNA and proteins.
470	Uncharacterised membrane protein superfamily (UMP1)	10	PF06738,PF12821	This superfamily includes two related families of membrane proteins. One of these is known as DUF1212. As yet there is no known function for any of these proteins.
471	DUF362-like superfamily	23	PF04015,PF09861	This superfamily incldues two uncharacterised families: DUF362 and DUF2088. These families contain a number of potential conserved metal binding residues and may be metalloenzymes.
472	Peptidase clan U	50	PF02517,PF10086,PF13367	This superfamily includes proteins classed as clan U by the MEROPS database. The proteins are membrane bound peptidases.  The clan also includes Pfam:PF10086 which is a related family of uncharacterised proteins.
473	tRNA-intron endonuclease catalytic domain-like	23	PF01974,PF09631,PF12858	This superfamily contains families of tRNA-splicing endonucleases.
474	SICA alpha/beta like extracellular domains	38	PF12878,PF12887	The SICA (schizont-infected cell agglutination) proteins of P. knowlesi, one of the variant antigen gene families, are associated with parasitic virulence. These proteins are comprised of three domains (alpha, beta and C-terminal).  The two extracelullar domains, termed SICA alpha and beta, occur with varying copy number.  The alpha domain, although it appears to be related to the beta domain, contains few cysteine residues and is found between 1 and 2 times, compared with the beta domain that occurs between 1 and 10 times (when present) [1].
475	Cyclophilin-like superfamily	149	PF02682,PF04126,PF05092,PF00160,PF05913,PF12903	This superfamily is characterised by being the core, closed, beta barrel of cyclophilin with complex topology, with some family members lacking the N-terminal strand of cyclophilin but retaining a closed barrel.
476	tRNA-intron endonuclease catalytic domain-like N-term	15	PF02778,PF12928	This superfamily contains families of the N-termini of tRNA-splicing endonucleases.
477	DNA methylase specificity domain	48	PF01420,PF12950	This superfamily includes domains that are found associated with restriction modification methylase enzymes. These domains are involved in defining the DNA substrate specificity.
478	F-type and N-type ATPase, I/AtpR subunit 	2	PF03899,PF12966	These two subunits from the F-type and N-type ATPases have been demonstrated to from functionally distinct components of these two different ATPases[1].
479	Phospholipase D superfamily	137	PF00614,PF06087,PF07894,PF09565,PF11495,PF13090,PF13091,PF13918	This superfamily includes proteins that are related to Phospholiase D.
480	Ribosomal L1 protein superfamily	14	PF00687,PF13003	This is a superfamily of Ribosomal L1 protein families.
481	His-hydrophobic-His tranposase Y1,Y2 superfamily	43	PF01797,PF04986	This superfamily consists of families of transposases that use tyrosine as nucleophiles and contain a conserved HUH motif where U is a non-conserved hydrophobic residue. Particular examples are the Y1 and Y2 transposases. Y1 transposases come from the IS608 group and the Y2 from the IS91 group. These transposases are nucleases involved in initiating rolling-circle plasmid replication, in initiating replication of certain single-strand (ss) DNA viruses (Rep proteins), and in initiation of conjugative plasmid transfer (relaxases). The IS91 transposase contains two of the three conserved protein sequence motifs identified in RCR proteins, a His-hydrophobic-His (HUH) motif required for metal ion binding, and a YxxxY motif containing two conserved catalytic tyrosine residues. The HUH motif participates in coordinating divalent metal ions essential for catalysis.  This clan is also known as the Transposase IS200-like whose members contain extra N-terminal hairpin and C-terminal helix, both or which are involved in dimerisation; there can be helix-swapping in the dimer.
482	Di-sulfide bond pairrings	25	PF00234,PF05617,PF13016,PF14368	This superfamily is characterised by families with only slightly differing disulfide-bonding patterning.
483	Probable substrate-binding preceding ATP-grasp domain	16	PF03199,PF03738	This superfamily is characterised by bein g the copies of the domain that precedes the ATP-grasp domain common to all superfamily members, and it can contain a substrate-binding function.
484	Peroxisome-like domain	54	PF06398,PF08372	This superfamily combines peroxisome families and a family found at the C-terminus of metazoan phosphoribosyltransferases.
486	2Fe-2S iron-sulfur cluster binding domain	387	PF00111,PF01799,PF10418,PF13085,PF13510	The 2Fe-2S ferredoxin family have a general core structure consisting of beta(2)-alpha-beta(2) which abeta-grasp type fold. The domani is around one hundred amino acids with four conserved cysteine residues to which the 2Fe-2S cluster is ligated.
487	FKBP-like superfamily	83	PF01272,PF00639,PF09122,PF13145,PF13616	This superfamily includes the FKBP domain which catalyses the peptidyl-prolyl cis-trans isomerisation reaction. The superfamily also includes the C-terminal domain of GreA and the c-terminal dmoain of 3-mercaptopyruvate sulfurtransferase.
488	FixH-like	14	PF05751,PF13115	This is a superfamily of FixH-like proteins of unknown function.
489	Type III antifreeze and spore coat polysaccharide	25	PF08666,PF13144	This is a superfamily of antifreeze proteins, flagellar FlgA, pilus and spore coat polysaccharide families.
490	PepSY_TM-like	68	PF03929,PF10067,PF13172,PF13703,PF13706	This is a superfamily of PepSY-transmembrane-like domain families.
491	Complex1_LYR-like superfamily	25	PF05347,PF13232,PF13233	This is a superfamily of sequences with the characteristic LYR, or similar, motif. In some yeasts this family plays a role in Fe-S cluster biogenesis in mitochondria.
492	S4 domain superfamily	33	PF01479,PF13275	This superfamily includes diverse proteins related to the ribosomal S4 protein.
493	Phosphotransferase system, EIIC superfamily	37	PF02378,PF13303	
494	DNA-A N-terminal domain-like superfamily	22	PF11490,PF11638	This superfamily includes the N-terminal domain from DnaA and the N-terminal domain from DNA polymerase III alpha subunit.
496	Flp pilus-biogenesis Tad-like superfamily	20	PF07811,PF09977,PF13400	This is a superfamily of Tad-like protein families all involved in Flp pilus biogenesis.
497	Glutathione S-transferase, C-terminal domain	147	PF00043,PF11801,PF13410	This clan represents the C-terminal domain of Glutathione S-transferase.
498	N-(deoxy)ribosyltransferase-like superfamily	13	PF05014,PF02267,PF09152,PF14359	This superfamily includes the N-deoxyribosyltransferase and ADP-ribosyl cyclase-like families as well as the family that includes the hypothetical protein PA1492 for which the structure is known. PA1942 has a very similar putative active site and is predicted by SCOP to have a deoxyribosyltransferase activity [1].
499	O-antigen-ligase like superfamily	55	PF04932,PF13425	This superfamily is characterised by a group of bacterial proteins that are membrane proteins, and include O-antigen ligases and putative hydrogen carbonate transporters [1].
500	Glycine-zipper TM superfamily	41	PF05433,PF06897,PF13436,PF13441,PF13488	This superfamily is characterised by having long glycine-zipper motifs, characteristically GxxxGxxxG [1], often with several contiguous copies. The x following the G is frequently found to be an alanine. This sequence region can be found in both symmetric and non-symmetrical membrane structures, and is relatively common. The fact that such a large fraction of the relatively few known membrane channel structures use the glycine zipper suggests that the sequence motif plays a special role in forming these homo-oligomeric bundles [1].
501	Cell wall anchoring	699	PF00746,PF06458,PF13461	This superfamily is characterised by families involved in the various mechanisms by which listerial proteins are attached at the bacterial surface and their many functions, including peptidoglycan metabolism, protein processing, adhesion to host cells, and invasion of host tissues.
502	STAS domain superfamily	134	PF01740,PF13466	This superfamily includes proteins that have a STAS domain.
503	Superoxide reductase-like superfamily	12	PF01880,PF13501	According to SCOP this superfamily includes the superoxide reductase domain as well as the C-terminal domain of desulfoferrodoxin.
504	Phage tail beta-barrel superfamily	81	PF05354,PF05954,PF06763,PF09096,PF09097,PF09393,PF13550,PF13856	This superfamily consists of a variety of bacteriophage protein families. Structurally members of this family contain a beta barrel.
505	Pentapeptide repeat	424	PF00805,PF13576,PF13599	This clan includes proteins that form a four sided parallel beta helix. They are generally compoased of pentapeptide repeat motifs.
506	Succinyl-CoA synthetase flavodoxin domain superfamily	50	PF00549,PF13607	This superfamily includes the flavodoxin like domain of succinyl-CoA synthetase and other related enzymes.
507	Fungal specific transcription factor domain	213	PF04082,PF11951	This putative domain is found in fungal transcription factors.
508	L,D-transpeptidase catalytic domain	72	PF03734,PF13645	This superfamily incldues the L,D-transpeptidase catalytic domain.
509	RBP11-like subunits of RNA polymerase	27	PF01193,PF13656	This superfamily is characterised by all members carrying RNA Polymerase alpha subunit, chain A, domain 2. The member families form homo- and hetero-dimers.
510	Methyl-accepting chemotaxis (MCP) signalling domain superfamily	267	PF00015	This superfamily is characterised by families with an anti-parallel coiled-coil which does not constitute a true fold.
511	Retrovirus zinc finger-like domains	614	PF00098,PF13696,PF13917,PF14392	This superfamily has zinc-finger domains from GAG proteins, HIV nucleocapsids, nucleocapsid proteins from mason-pfizer monkey virus, and from other nucleic-acid binding proteins. Sometimes the domains appears in duplicate.
512	CRAL-TRIO domain superfamily	111	PF00650,PF13716	This superfamily includes the CRAL-TRIO domain.
513	LCCL-domain like	42	PF03815,PF08642	This superfamily is characterised by an unusual fold exemplified in PDB:1jbi. Vertebrate members are the cysteine-rich secretory protein LCCL domain-containing proteins including Colchin. The fungal members are found to be necessary for histone de-acetylation.
514	Major virulence factor, invasion-associated superfamily	9	PF13769	This superfamily includes several bacterail families of proteins which are important in the virulence of the infection they produce.
515	LTXXQ-like superfamily	5	PF07813,PF13801	This is a superfamily of members all carrying the repeated LTxxQ paired sequence-motif region.
516	Rieske-like iron-sulphur domain	102	PF00355,PF13806	This superfamily is characterised by Rieske Iron-sulfur families of the [2Fe-2S] type including NADH-nitrite reductase small subunit NirD proteins. This domain has an all-beta rubredoxin-like fold.
517	Membrane-bound O-acyltransferase,MBOAT,superfamily	28	PF03062,PF13813	This is a large superfamily of different enzymes. All biochemically characterised members of the superfamily encode enzymes that transfer organic acids, typically fatty acids, onto hydroxyl groups of membrane-embedded targets.
518	DnaJ-Hsp40-Cysteine-rich domain superfamily	29	PF00684	This superfamily is characterised by short cysteine-rich families that are DnaJ or Hsp40 or related. The structures are usually metal(zinc)-bound extended beta-hairpin folds.
520	Keratin_associated superfamily	21	PF01500,PF05287,PF13885	Families in this clan are cysteine-rich and are from proteins associated with Keratin.
