pfamnr	pfamdesc	interpronr	interprodesc
PF00482	Type II secretion system (T2SS), protein F	IPR018076	NULL
PF00483	Nucleotidyl transferase	IPR005835	NULL
PF00484	Carbonic anhydrase	IPR001765	NULL
PF00485	Phosphoribulokinase / Uridine kinase family	IPR006083	NULL
PF00486	Transcriptional regulatory protein, C terminal	IPR001867	NULL
PF00487	Fatty acid desaturase	IPR005804	NULL
PF00488	MutS domain V	IPR000432	NULL
PF00489	Interleukin-6/G-CSF/MGF family	IPR003573	NULL
PF00490	Delta-aminolevulinic acid dehydratase	IPR001731	NULL
PF00491	Arginase family	IPR006035	NULL
PF00493	MCM2/3/5 family	IPR001208	NULL
PF00494	Squalene/phytoene synthase	IPR002060	NULL
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	IPR000914	NULL
PF00497	Bacterial extracellular solute-binding proteins, family 3	IPR001638	NULL
PF00498	FHA domain	IPR000253	NULL
PF00499	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	IPR001457	NULL
PF00500	L1 (late) protein	IPR002210	NULL
PF00501	AMP-binding enzyme	IPR000873	NULL
PF00502	Phycobilisome protein	IPR012128	NULL
PF00503	G-protein alpha subunit	IPR001019	NULL
PF00504	Chlorophyll A-B binding protein	IPR022796	NULL
PF00505	HMG (high mobility group) box	IPR009071	NULL
PF00506	Influenza virus nucleoprotein	IPR002141	NULL
PF00507	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	IPR000440	NULL
PF00508	E2 (early) protein, N terminal	IPR001866	NULL
PF00509	Haemagglutinin	IPR001364	NULL
PF00510	Cytochrome c oxidase subunit III	IPR000298	NULL
PF00511	E2 (early) protein, C terminal	IPR000427	NULL
PF00512	His Kinase A (phospho-acceptor) domain	IPR003661	NULL
PF00513	Late Protein L2	IPR000784	NULL
PF00514	Armadillo/beta-catenin-like repeat	IPR000225	NULL
PF00515	Tetratricopeptide repeat	IPR001440	NULL
PF00516	Envelope glycoprotein GP120	IPR000777	NULL
PF00517	Retroviral envelope protein	IPR000328	NULL
PF00518	Early Protein (E6)	IPR001334	NULL
PF00519	Papillomavirus helicase	IPR001177	NULL
PF00520	Ion transport protein	IPR005821	NULL
PF00521	DNA gyrase/topoisomerase IV, subunit A	IPR002205	NULL
PF00522	VPR/VPX protein	IPR000012	NULL
PF00523	Fusion glycoprotein F0	IPR000776	NULL
PF00524	E1 Protein, N terminal domain	IPR014000	NULL
PF00525	Alpha crystallin A chain, N terminal	IPR003090	NULL
PF00526	Dictyostelium (slime mold) repeat	IPR001673	NULL
PF00527	E7 protein, Early protein	IPR000148	NULL
PF00528	Binding-protein-dependent transport system inner membrane component	IPR000515	NULL
PF00529	HlyD family secretion protein	IPR006143	NULL
PF00530	Scavenger receptor cysteine-rich domain	IPR001190	NULL
PF00531	Death domain	IPR000488	NULL
PF00532	Periplasmic binding proteins and sugar binding domain of LacI family	IPR001761	NULL
PF00533	BRCA1 C Terminus (BRCT) domain	IPR001357	NULL
PF00534	Glycosyl transferases group 1	IPR001296	NULL
PF00535	Glycosyl transferase family 2	IPR001173	NULL
PF00536	SAM domain (Sterile alpha motif)	IPR021129	NULL
PF00537	Scorpion toxin-like domain 	IPR002061	NULL
PF00538	linker histone H1 and H5 family	IPR005818	NULL
PF00539	Transactivating regulatory protein (Tat)	IPR001831	NULL
PF00540	gag gene protein p17 (matrix protein)	IPR000071	NULL
PF00541	Adenoviral fibre protein (knob domain)	IPR000978	NULL
PF00542	Ribosomal protein L7/L12 C-terminal domain	IPR013823	NULL
PF00543	Nitrogen regulatory protein P-II	IPR002187	NULL
PF00544	Pectate lyase	IPR002022	NULL
PF00545	ribonuclease	IPR000026	NULL
PF00547	Urease, gamma subunit	IPR002026	NULL
PF00548	3C cysteine protease (picornain 3C)	IPR000199	NULL
PF00549	CoA-ligase	IPR005811	NULL
PF00550	Phosphopantetheine attachment site	IPR006163	NULL
PF00551	Formyl transferase	IPR002376	NULL
PF00552	Integrase DNA binding domain	IPR001037	NULL
PF00553	Cellulose binding domain	IPR001919	NULL
PF00554	Rel homology domain (RHD)	IPR011539	NULL
PF00555	delta endotoxin	IPR015790	NULL
PF00556	Antenna complex alpha/beta subunit	IPR000066	NULL
PF00557	Metallopeptidase family M24	IPR000994	NULL
PF00558	Vpu protein	IPR008187	NULL
PF00559	Retroviral Vif (Viral infectivity) protein	IPR000475	NULL
PF00560	Leucine Rich Repeat	IPR001611	NULL
PF00561	alpha/beta hydrolase fold	IPR000073	NULL
PF00562	RNA polymerase Rpb2, domain 6	IPR007120	NULL
PF00563	EAL domain	IPR001633	NULL
PF00564	PB1 domain	IPR000270	NULL
PF00565	Staphylococcal nuclease homologue	IPR006021	NULL
PF00566	Rab-GTPase-TBC domain	IPR000195	NULL
PF00567	Tudor domain	IPR002999	NULL
PF00568	WH1 domain	IPR000697	NULL
PF00569	Zinc finger, ZZ type	IPR000433	NULL
PF00570	HRDC domain	IPR002121	NULL
PF00571	CBS domain	IPR000644	NULL
PF00572	Ribosomal protein L13	IPR005822	NULL
PF00573	Ribosomal protein L4/L1 family	IPR002136	NULL
PF00574	Clp protease	IPR001907	NULL
PF00575	S1 RNA binding domain	IPR003029	NULL
PF00576	HIUase/Transthyretin family	IPR023416	NULL
PF00577	Type VII secretion system (T7SS), usher protein	IPR000015	NULL
PF00578	AhpC/TSA family	IPR000866	NULL
PF00579	tRNA synthetases class I (W and Y)	IPR002305	NULL
PF00580	UvrD/REP helicase N-terminal domain	IPR014016	NULL
PF00581	Rhodanese-like domain	IPR001763	NULL
PF00582	Universal stress protein family	IPR006016	NULL
PF00583	Acetyltransferase (GNAT) family	IPR000182	NULL
PF00584	SecE/Sec61-gamma subunits of protein translocation complex	IPR001901	NULL
PF00585	C-terminal regulatory domain of Threonine dehydratase	IPR001721	NULL
PF00586	AIR synthase related protein, N-terminal domain	IPR000728	NULL
PF00587	tRNA synthetase class II core domain (G, H, P, S and T)	IPR002314	NULL
PF00588	SpoU rRNA Methylase family	IPR001537	NULL
PF00589	Phage integrase family	IPR002104	NULL
PF00590	Tetrapyrrole (Corrin/Porphyrin) Methylases	IPR000878	NULL
PF00591	Glycosyl transferase family, a/b domain	IPR000312	NULL
PF00593	TonB dependent receptor	IPR000531	NULL
PF00594	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain	IPR000294	NULL
PF00595	PDZ domain (Also known as DHR or GLGF)	IPR001478	NULL
PF00596	Class II Aldolase and Adducin N-terminal domain	IPR001303	NULL
PF00598	Influenza Matrix protein (M1)	IPR001561	NULL
PF00599	Influenza Matrix protein (M2)	IPR002089	NULL
PF00600	Influenza non-structural protein (NS1)	IPR000256	NULL
PF00601	Influenza non-structural protein (NS2)	IPR000968	NULL
PF00602	Influenza RNA-dependent RNA polymerase subunit PB1	IPR001407	NULL
PF00603	Influenza RNA-dependent RNA polymerase subunit PA	IPR001009	NULL
PF00604	Influenza RNA-dependent RNA polymerase subunit PB2	IPR001591	NULL
PF00605	Interferon regulatory factor transcription factor	IPR001346	NULL
PF00606	Herpesvirus Glycoprotein B	IPR000234	NULL
PF00607	gag gene protein p24 (core nucleocapsid protein)	IPR000721	NULL
PF00608	Adenoviral fibre protein (repeat/shaft region)	IPR000939	NULL
PF00609	Diacylglycerol kinase accessory domain	IPR000756	NULL
PF00610	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)	IPR000591	NULL
PF00611	Fes/CIP4, and EFC/F-BAR homology domain	IPR001060	NULL
PF00612	IQ calmodulin-binding motif	IPR000048	NULL
PF00613	Phosphoinositide 3-kinase family, accessory domain (PIK domain)	IPR001263	NULL
PF00614	Phospholipase D Active site motif	IPR001736	NULL
PF00615	Regulator of G protein signaling domain	IPR000342	NULL
PF00616	GTPase-activator protein for Ras-like GTPase	IPR001936	NULL
PF00617	RasGEF domain	IPR001895	NULL
PF00618	RasGEF N-terminal motif	IPR000651	NULL
PF00619	Caspase recruitment domain	IPR001315	NULL
PF00620	RhoGAP domain	IPR000198	NULL
PF00621	RhoGEF domain	IPR000219	NULL
PF00622	SPRY domain	IPR003877	NULL
PF00623	RNA polymerase Rpb1, domain 2	IPR000722	NULL
PF00624	Flocculin repeat	IPR001389	NULL
PF00625	Guanylate kinase	IPR008144	NULL
PF00626	Gelsolin repeat	IPR007123	NULL
PF00627	UBA/TS-N domain	IPR000449	NULL
PF00628	PHD-finger	IPR019787	NULL
PF00629	MAM domain	IPR000998	NULL
PF00630	Filamin/ABP280 repeat	IPR017868	NULL
PF00631	GGL domain	IPR015898	NULL
PF00632	HECT-domain (ubiquitin-transferase)	IPR000569	NULL
PF00633	Helix-hairpin-helix motif	IPR000445	NULL
PF00634	BRCA2 repeat	IPR002093	NULL
PF00635	MSP (Major sperm protein) domain	IPR000535	NULL
PF00636	Ribonuclease III domain	IPR000999	NULL
PF00637	Region in Clathrin and VPS	IPR000547	NULL
PF00638	RanBP1 domain	IPR000156	NULL
PF00639	PPIC-type PPIASE domain	IPR000297	NULL
PF00640	Phosphotyrosine interaction domain (PTB/PID)	IPR006020	NULL
PF00641	Zn-finger in Ran binding protein and others	IPR001876	NULL
PF00642	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	IPR000571	NULL
PF00643	B-box zinc finger	IPR000315	NULL
PF00644	Poly(ADP-ribose) polymerase catalytic domain	IPR012317	NULL
PF00645	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region	IPR001510	NULL
PF00646	F-box domain	IPR001810	NULL
PF00647	Elongation factor 1 gamma, conserved domain	IPR001662	NULL
PF00648	Calpain family cysteine protease	IPR001300	NULL
PF00649	Copper fist DNA binding domain	IPR001083	NULL
PF00650	CRAL/TRIO domain	IPR001251	NULL
PF00651	BTB/POZ domain	IPR013069	NULL
PF00652	Ricin-type beta-trefoil lectin domain	IPR000772	NULL
PF00653	Inhibitor of Apoptosis domain	IPR001370	NULL
PF00654	Voltage gated chloride channel	IPR001807	NULL
PF00656	Caspase domain	IPR011600	NULL
PF00657	GDSL-like Lipase/Acylhydrolase	IPR001087	NULL
PF00658	Poly-adenylate binding protein, unique domain	IPR002004	NULL
PF00659	POLO box duplicated region	IPR000959	NULL
PF00660	Seripauperin and TIP1 family	IPR000992	NULL
PF00661	Viral matrix protein	IPR000982	NULL
PF00662	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	IPR001516	NULL
PF00664	ABC transporter transmembrane region	IPR001140	NULL
PF00665	Integrase core domain	IPR001584	NULL
PF00666	Cathelicidin	IPR001894	NULL
PF00667	FAD binding domain	IPR003097	NULL
PF00668	Condensation domain	IPR001242	NULL
PF00669	Bacterial flagellin N-terminal helical region	IPR001029	NULL
PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	IPR015878	NULL
PF00672	HAMP domain	IPR003660	NULL
PF00673	ribosomal L5P family C-terminus	IPR002132	NULL
PF00674	DUP family	IPR001142	NULL
PF00675	Insulinase (Peptidase family M16)	IPR011765	NULL
PF00676	Dehydrogenase E1 component	IPR001017	NULL
PF00677	Lumazine binding domain	IPR001783	NULL
PF00679	Elongation factor G C-terminus	IPR000640	NULL
PF00680	RNA dependent RNA polymerase	IPR001205	NULL
PF00681	Plectin repeat	IPR001101	NULL
PF00682	HMGL-like	IPR000891	NULL
PF00683	TB domain	IPR002212	NULL
PF00684	DnaJ central domain	IPR001305	NULL
PF00685	Sulfotransferase domain	IPR000863	NULL
PF00686	Starch binding domain	IPR002044	NULL
PF00687	Ribosomal protein L1p/L10e family	IPR002143	NULL
PF00688	TGF-beta propeptide	IPR001111	NULL
PF00689	Cation transporting ATPase, C-terminus	IPR006068	NULL
PF00690	Cation transporter/ATPase, N-terminus	IPR004014	NULL
PF00691	OmpA family	IPR006665	NULL
PF00692	dUTPase	IPR008180	NULL
PF00693	Thymidine kinase from herpesvirus	IPR001889	NULL
PF00694	Aconitase C-terminal domain	IPR000573	NULL
PF00695	Major surface antigen from hepadnavirus	IPR000349	NULL
PF00696	Amino acid kinase family	IPR001048	NULL
PF00697	N-(5'phosphoribosyl)anthranilate (PRA) isomerase	IPR001240	NULL
PF00698	Acyl transferase domain	IPR014043	NULL
PF00699	Urease beta subunit	IPR002019	NULL
PF00700	Bacterial flagellin C-terminal helical region	IPR001029	NULL
PF00701	Dihydrodipicolinate synthetase family	IPR002220	NULL
PF00702	haloacid dehalogenase-like hydrolase	IPR005834	NULL
PF00703	Glycosyl hydrolases family 2	IPR006102	NULL
PF00704	Glycosyl hydrolases family 18	IPR001223	NULL
PF00705	Proliferating cell nuclear antigen, N-terminal domain	IPR022648	NULL
PF00706	Anenome neurotoxin	IPR000693	NULL
PF00707	Translation initiation factor IF-3, C-terminal domain	IPR019815	NULL
PF00708	Acylphosphatase	IPR001792	NULL
PF00709	Adenylosuccinate synthetase	IPR001114	NULL
PF00710	Asparaginase	IPR006034	NULL
PF00711	Beta defensin	IPR001855	NULL
PF00712	DNA polymerase III beta subunit, N-terminal domain	IPR022634	NULL
PF00713	Hirudin	IPR000429	NULL
PF00714	Interferon gamma	IPR002069	NULL
PF00715	Interleukin 2	IPR000779	NULL
PF00716	Assemblin (Peptidase family S21)	IPR001847	NULL
PF00717	Peptidase S24-like	IPR019759	NULL
PF00718	Polyomavirus coat protein	IPR000662	NULL
PF00719	Inorganic pyrophosphatase	IPR008162	NULL
PF00720	Subtilisin inhibitor-like	IPR023549	NULL
PF00721	Virus coat protein (TMV like)	IPR001337	NULL
PF00722	Glycosyl hydrolases family 16	IPR000757	NULL
PF00723	Glycosyl hydrolases family 15	IPR011613	NULL
PF00724	NADH:flavin oxidoreductase / NADH oxidase family	IPR001155	NULL
PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	IPR006108	NULL
PF00726	Interleukin 10	IPR020443	NULL
PF00727	Interleukin 4	IPR002354	NULL
PF00728	Glycosyl hydrolase family 20, catalytic domain	IPR015883	NULL
PF00729	Viral coat protein (S domain)	IPR000937	NULL
PF00730	HhH-GPD superfamily base excision DNA repair protein	IPR003265	NULL
PF00731	AIR carboxylase	IPR000031	NULL
PF00732	GMC oxidoreductase	IPR000172	NULL
PF00733	Asparagine synthase	IPR001962	NULL
PF00734	Fungal cellulose binding domain	IPR000254	NULL
PF00735	Septin	IPR000038	NULL
PF00736	EF-1 guanine nucleotide exchange domain	IPR014038	NULL
PF00737	Photosystem II 10 kDa phosphoprotein	IPR001056	NULL
PF00738	Polyhedrin	IPR001746	NULL
PF00739	Trans-activation protein X	IPR000236	NULL
PF00740	Parvovirus coat protein VP2	IPR001403	NULL
PF00741	Gas vesicle protein	IPR000638	NULL
PF00742	Homoserine dehydrogenase	IPR001342	NULL
PF00743	Flavin-binding monooxygenase-like	IPR020946	NULL
PF00745	Glutamyl-tRNAGlu reductase, dimerisation domain	IPR015896	NULL
PF00746	Gram positive anchor	IPR019948	NULL
PF00747	ssDNA binding protein	IPR000635	NULL
PF00748	Calpain inhibitor	IPR001259	NULL
PF00749	tRNA synthetases class I (E and Q), catalytic domain	IPR020058	NULL
PF00750	tRNA synthetases class I (R)	IPR015945	NULL
PF00751	DM DNA binding domain	IPR001275	NULL
PF00752	XPG N-terminal domain	IPR006085	NULL
PF00753	Metallo-beta-lactamase superfamily	IPR001279	NULL
PF00754	F5/8 type C domain	IPR000421	NULL
PF00755	Choline/Carnitine o-acyltransferase	IPR000542	NULL
PF00756	Putative esterase	IPR000801	NULL
PF00757	Furin-like cysteine rich region	IPR006211	NULL
PF00758	Erythropoietin/thrombopoietin	IPR001323	NULL
PF00759	Glycosyl hydrolase family 9	IPR001701	NULL
PF00760	Cucumovirus coat protein	IPR023800	NULL
PF00761	Polyomavirus coat protein	IPR001070	NULL
PF00762	Ferrochelatase	IPR001015	NULL
PF00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	IPR020630	NULL
PF00764	Arginosuccinate synthase	IPR001518	NULL
PF00765	Autoinducer synthetase	IPR001690	NULL
PF00766	Electron transfer flavoprotein FAD-binding domain	IPR014731	NULL
PF00767	Potyvirus coat protein	IPR001592	NULL
PF00768	D-alanyl-D-alanine carboxypeptidase	IPR001967	NULL
PF00769	Ezrin/radixin/moesin family	IPR011259	NULL
PF00770	Adenovirus endoprotease	IPR000855	NULL
PF00771	FHIPEP family	IPR001712	NULL
PF00772	DnaB-like helicase N terminal domain	IPR007693	NULL
PF00773	RNB domain	IPR001900	NULL
PF00775	Dioxygenase	IPR000627	NULL
PF00777	Glycosyltransferase family 29 (sialyltransferase)	IPR001675	NULL
PF00778	DIX domain	IPR001158	NULL
PF00779	BTK motif	IPR001562	NULL
PF00780	CNH domain	IPR001180	NULL
PF00781	Diacylglycerol kinase catalytic domain	IPR001206	NULL
PF00782	Dual specificity phosphatase, catalytic domain	IPR000340	NULL
PF00784	MyTH4 domain	IPR000857	NULL
PF00786	P21-Rho-binding domain	IPR000095	NULL
PF00787	PX domain	IPR001683	NULL
PF00788	Ras association (RalGDS/AF-6) domain	IPR000159	NULL
PF00789	UBX domain	IPR001012	NULL
PF00790	VHS domain	IPR002014	NULL
PF00791	ZU5 domain	IPR000906	NULL
PF00792	Phosphoinositide 3-kinase C2	IPR002420	NULL
PF00793	DAHP synthetase I family	IPR006218	NULL
PF00794	PI3-kinase family, ras-binding domain	IPR000341	NULL
PF00795	Carbon-nitrogen hydrolase	IPR003010	NULL
PF00796	Photosystem I reaction centre subunit VIII	IPR001302	NULL
PF00797	N-acetyltransferase	IPR001447	NULL
PF00798	Arenavirus glycoprotein	IPR001535	NULL
PF00799	Geminivirus Rep catalytic domain	IPR022690	NULL
PF00800	Prephenate dehydratase	IPR001086	NULL
PF00801	PKD domain	IPR000601	NULL
PF00802	Pneumovirus attachment glycoprotein G	IPR000925	NULL
PF00803	3A/RNA2 movement protein family	IPR000603	NULL
PF00804	Syntaxin	IPR006011	NULL
PF00805	Pentapeptide repeats (8 copies)	IPR001646	NULL
PF00806	Pumilio-family RNA binding repeat	IPR001313	NULL
PF00807	Apidaecin	IPR004828	NULL
PF00808	Histone-like transcription factor (CBF/NF-Y) and archaeal histone	IPR003958	NULL
PF00809	Pterin binding enzyme	IPR000489	NULL
PF00810	ER lumen protein retaining receptor	IPR000133	NULL
PF00811	Ependymin	IPR001299	NULL
PF00812	Ephrin	IPR001799	NULL
PF00813	FliP family	IPR005838	NULL
PF00814	Glycoprotease family	IPR000905	NULL
PF00815	Histidinol dehydrogenase	IPR012131	NULL
PF00816	H-NS histone family	IPR001801	NULL
PF00817	impB/mucB/samB family	IPR001126	NULL
PF00818	Ice nucleation protein repeat	IPR000258	NULL
PF00819	Myotoxin	IPR000881	NULL
PF00820	Borrelia lipoprotein	IPR001809	NULL
PF00821	Phosphoenolpyruvate carboxykinase	IPR008209	NULL
PF00822	PMP-22/EMP/MP20/Claudin family	IPR004031	NULL
PF00823	PPE family	IPR000030	NULL
PF00825	Ribonuclease P	IPR000100	NULL
PF00827	Ribosomal L15	IPR000439	NULL
PF00828	Ribosomal protein L18e/L15	IPR021131	NULL
PF00829	Ribosomal prokaryotic L21 protein	IPR001787	NULL
PF00830	Ribosomal L28 family	IPR001383	NULL
PF00831	Ribosomal L29 protein	IPR001854	NULL
PF00832	Ribosomal L39 protein	IPR000077	NULL
PF00833	Ribosomal S17	IPR001210	NULL
PF00834	Ribulose-phosphate 3 epimerase family	IPR000056	NULL
PF00835	SNAP-25 family	IPR000928	NULL
PF00836	Stathmin family	IPR000956	NULL
PF00837	Iodothyronine deiodinase	IPR000643	NULL
PF00838	Translationally controlled tumour protein	IPR018105	NULL
PF00839	Cysteine rich repeat	IPR001893	NULL
PF00840	Glycosyl hydrolase family 7	IPR001722	NULL
PF00841	Sperm histone P2	IPR000492	NULL
PF00842	Alanine racemase, C-terminal domain	IPR011079	NULL
PF00843	Arenavirus nucleocapsid protein	IPR000229	NULL
PF00844	Geminivirus coat protein/nuclear export factor BR1 family	IPR000263	NULL
PF00845	Geminivirus BL1 movement protein	IPR000211	NULL
PF00846	Hantavirus nucleocapsid protein	IPR002214	NULL
PF00847	AP2 domain	IPR001471	NULL
PF00848	Ring hydroxylating alpha subunit (catalytic domain)	IPR015879	NULL
PF00849	RNA pseudouridylate synthase	IPR006145	NULL
PF00850	Histone deacetylase domain	IPR023801	NULL
PF00851	Helper component proteinase	IPR001456	NULL
PF00852	Glycosyltransferase family 10 (fucosyltransferase)	IPR001503	NULL
PF00853	Runt domain	IPR013524	NULL
PF00854	POT family	IPR000109	NULL
PF00855	PWWP domain	IPR000313	NULL
PF00856	SET domain	IPR001214	NULL
PF00857	Isochorismatase family	IPR000868	NULL
PF00858	Amiloride-sensitive sodium channel	IPR001873	NULL
PF00859	CTF/NF-I family transcription modulation region	IPR000647	NULL
PF00860	Permease family	IPR006043	NULL
PF00861	Ribosomal L18p/L5e family	IPR005484	NULL
PF00862	Sucrose synthase	IPR000368	NULL
PF00863	Peptidase family C4	IPR001730	NULL
PF00864	ATP P2X receptor	IPR001429	NULL
PF00865	Osteopontin	IPR002038	NULL
PF00866	Ring hydroxylating beta subunit	IPR000391	NULL
PF00867	XPG I-region	IPR006086	NULL
PF00868	Transglutaminase family	IPR001102	NULL
PF00869	Flavivirus glycoprotein, central and dimerisation domains	IPR011998	NULL
PF00870	P53 DNA-binding domain	IPR011615	NULL
PF00871	Acetokinase family	IPR000890	NULL
PF00872	Transposase, Mutator family	IPR001207	NULL
PF00873	AcrB/AcrD/AcrF family	IPR001036	NULL
PF00874	PRD domain	IPR011608	NULL
PF00875	DNA photolyase	IPR006050	NULL
PF00876	Innexin	IPR000990	NULL
PF00877	NlpC/P60 family	IPR000064	NULL
PF00878	Cation-independent mannose-6-phosphate receptor repeat	IPR000479	NULL
PF00879	Defensin propeptide	IPR002366	NULL
PF00880	Nebulin repeat	IPR000900	NULL
PF00881	Nitroreductase family	IPR000415	NULL
PF00882	Zinc dependent phospholipase C	IPR008947	NULL
PF00883	Cytosol aminopeptidase family, catalytic domain	IPR000819	NULL
